,open,high,low,close,volume,value
2023-05-11 20:30:00,27499.99999995,27499.99999995,27499.99999995,27499.99999995,0.01237112,340.2058
2023-05-11 21:15:00,27366.16252387,27366.16252387,27366.16252387,27366.16252387,0.025,684.1540631
2023-05-11 21:57:00,27366.16252387,27366.16252387,27366.16252387,27366.16252387,0.01189532,325.52926039
2023-05-11 22:12:00,27366.16252387,27366.16252387,27366.16252387,27366.16252387,1.023e-05,0.27995584
2023-05-11 22:18:00,27366.16252387,27366.16252387,27366.16252387,27366.16252387,0.000701,19.18367993
2023-05-11 22:27:00,27366.16252387,27366.16252387,27366.16252387,27366.16252387,0.00029618,8.10531002
2023-05-11 22:33:00,27366.16252387,27483.15445987,27366.16252387,27483.15445987,0.0646034,1772.23684754
2023-05-11 22:57:00,27301.49062601,27301.49062601,27301.49062601,27301.49062601,9.6e-07,0.02620943
2023-05-11 23:03:00,27256.71777362,27256.71777362,27256.71777362,27256.71777362,0.0183441,499.99995651
2023-05-11 23:06:00,27113.38000002,27113.38000002,27062.03500004,27113.38000002,0.00911292,246.9921167
2023-05-11 23:09:00,27256.71777361,27499.99999995,27087.57588687,27087.57588687,0.01791464,488.39227236
2023-05-11 23:12:00,27372.59870961,27377.623971,27372.59870961,27372.59870961,0.00881849,241.4218614
2023-05-11 23:15:00,27397.72501648,27473.10393712,27397.72501648,27397.72501648,0.0079944,219.56092043
2023-05-11 23:42:00,27272.09348212,27272.09348212,27272.09348212,27272.09348212,0.00489095,133.38644562
2023-05-11 23:45:00,27087.57588688,27226.86612975,27062.035,27226.86612975,0.04273506,1157.5645852
2023-05-11 23:54:00,27151.48720912,27151.48720912,27151.48720911,27151.48720911,0.00211547,57.43815664
2023-05-12 00:03:00,27062.035,27317.3208345,27062.035,27317.3208345,0.07443687,2023.49006542
2023-05-12 00:12:00,27246.96717525,27317.3208345,27246.96717525,27317.3208345,0.04064753,1109.09172178
2023-05-12 00:27:00,27282.14400487,27282.14400487,27282.14400487,27282.14400487,0.00128067,34.93942336
2023-05-12 00:48:00,27282.14400487,27282.14400487,27282.14400487,27282.14400487,0.03666666,1000.3450983
2023-05-12 01:00:00,27287.16926624,27499.99999995,27287.16926624,27499.99999995,0.00421479,115.06747185
2023-05-12 01:03:00,27282.14400487,27282.14400487,27282.14400487,27282.14400487,0.0041721,113.823833
2023-05-12 01:09:00,27307.27031174,27531.77975999,27307.27031174,27531.77975999,0.04116002,1128.66392116
2023-05-12 01:21:00,27062.03640025,27531.77955999,27062.03640025,27531.77955999,0.00159075,43.41840619
2023-05-12 01:36:00,27062.03500001,27062.70408039,27050.00040008,27050.00040008,0.07880494,2132.43007684
2023-05-12 01:39:00,27307.27031174,27569.92852,27307.27031174,27569.92852,0.07697078,2121.79432
2023-05-12 01:42:00,27302.24505037,27302.24505037,27302.24505037,27302.24505037,9.167e-05,2.5027968
2023-05-12 01:45:00,27050.00320064,27050.00320064,27050.00320064,27050.00320064,9.167e-05,2.47967379
2023-05-12 02:00:00,27267.06822075,27267.06822075,27267.06822075,27267.06822075,0.00025799,7.03463093
2023-05-12 02:39:00,27050.0,27050.0,27000.0,27000.0,0.03557132,962.1014245
2023-05-12 03:03:00,27264.02682,27264.02682,27264.02682,27264.02682,0.00760947,207.46479417
2023-05-12 03:15:00,27276.91224,27276.91224,27276.91224,27276.91224,0.01863375,508.27116345
2023-05-12 03:24:00,27000.0,27000.0,27000.0,27000.0,0.02511543,678.11661
2023-05-12 03:27:00,27000.0,27000.0,27000.0,27000.0,0.11626709,3139.21143
2023-05-12 03:42:00,26933.60853253,26933.60853253,26933.60853252,26933.60853252,2.275e-05,0.61273959
2023-05-12 03:48:00,27000.0,27000.0,27000.0,27000.0,0.0111414,300.8178
2023-05-12 03:51:00,27000.0,27000.0,27000.0,27000.0,0.0477738,1289.8926
2023-05-12 04:36:00,26933.6085325,26933.6085325,26140.0,26704.52106105,1.28673974,34075.166495
2023-05-12 04:48:00,26704.52106105,26704.52106105,26704.52106105,26704.52106105,0.0003,8.01135632
2023-05-12 05:21:00,26759.24163612,26759.24163612,26714.46858375,26714.46858375,0.19012976,5080.67647008
2023-05-12 05:27:00,26955.50201549,26955.50201549,26955.50201549,26955.50201549,0.00098644,26.58998541
2023-05-12 05:30:00,27030.88093611,28063.69656443,27030.88093611,27076.1082885,1.18552886,33058.79255211
2023-05-12 05:36:00,27061.03250437,27076.1082885,27056.007243,27076.1082885,0.07442232,2014.05336788
2023-05-12 06:09:00,27076.1082885,27076.1082885,27076.1082885,27076.1082885,0.00188324,50.99081017
2023-05-12 06:12:00,27156.51247049,27435.69714,27076.1082885,27435.69714,0.00556772,151.59344219
2023-05-12 06:21:00,27397.64964,27397.64964,27397.64964,27397.64964,0.0343,939.73938265
2023-05-12 06:27:00,27397.64964,27397.64964,27397.64964,27397.64964,0.00292554,80.15291993
2023-05-12 06:48:00,26873.66094775,26878.63730918,26814.61715437,26878.63570912,0.3478307,9342.13242963
2023-05-12 07:03:00,26873.66174777,26873.66174777,26873.66174777,26873.66174777,0.00275687,74.08719186
2023-05-12 07:12:00,26873.66174777,26873.66174777,26873.66174777,26873.66174777,0.00034759,9.34101609
2023-05-12 07:27:00,26883.6106705,26883.6106705,26883.6106705,26883.6106705,0.00027295,7.33788153
2023-05-12 07:33:00,26858.73686361,27086.15881121,26858.73686361,27086.15881121,0.00271785,73.3158086
2023-05-12 08:54:00,26858.73686361,26858.73706361,26858.73686361,26858.73706361,0.00929312,249.60146631
2023-05-12 08:57:00,26843.81317952,26843.81317952,26843.81317952,26843.81317952,0.0046321,124.34322703
2023-05-12 09:06:00,27086.1588112,27086.15881121,27086.1588112,27086.1588112,0.00402225,108.94730228
2023-05-12 09:30:00,26813.96421124,26813.96421124,26813.96421124,26813.96421124,0.00042833,11.48522529
2023-05-12 09:42:00,26818.93857262,26833.86305675,26813.96421124,26813.96421124,0.29704592,7968.35918826
2023-05-12 09:51:00,26903.50971599,26903.50971599,26903.50971599,26903.50971599,0.01367315,367.85572387
2023-05-12 10:15:00,27076.10828844,27746.69698218,27076.10828844,27429.74271102,0.2900183,7928.61665328
2023-05-12 10:24:00,27086.15881125,27086.15881125,27056.007243,27056.007243,0.03115148,842.83466911
2023-05-12 10:27:00,26910.22500002,26910.22500002,26899.18,26899.18,9.9e-06,0.26632662
2023-05-12 10:36:00,26838.83781813,27045.95672025,26838.83781812,27045.95672025,0.04433243,1194.39281695
2023-05-12 10:48:00,27030.88093612,27030.88093612,26838.83781812,26838.83781812,0.01076665,289.06368638
2023-05-12 11:15:00,27000.72936787,27000.72936787,26794.06476576,26838.83781813,0.03115983,835.73235702
2023-05-12 11:24:00,26975.603061,26975.603061,26975.603061,26975.603061,0.00522761,141.01793232
2023-05-12 11:30:00,26731.20300002,26731.20300002,26731.20300002,26731.20300002,0.00016516,4.41492549
2023-05-12 11:33:00,26985.65358372,26985.65358372,26985.65358372,26985.65358372,0.0001628,4.3932644
2023-05-12 11:42:00,26935.40097,26935.40097,26935.40097,26935.40097,0.00128935,34.72915924
2023-05-12 11:54:00,26731.20300002,26731.20300002,26731.20300002,26731.20300002,8.97e-06,0.23977889
2023-05-12 12:06:00,26565.22594249,26565.22594249,26565.22594249,26565.22594249,0.00543523,144.388113
2023-05-12 12:12:00,26515.47852876,26515.47852876,26495.57928324,26495.57928324,0.00086013,22.80460685
2023-05-12 12:15:00,26515.47832875,26515.47832875,26515.47832875,26515.47832875,0.0178676,473.76796059
2023-05-12 12:18:00,26731.20299999,26731.20300002,26731.20299999,26731.20299999,0.03563638,952.60330796
2023-05-12 12:21:00,26525.4278515,26525.4278515,26490.60452187,26525.42785149,0.00463717,122.87408554
2023-05-12 12:30:00,26535.37737425,26535.37737425,26535.37737425,26535.37737425,0.01327188,352.17434427
2023-05-12 12:39:00,26535.37737425,26535.37737425,26535.37737425,26535.37737425,5.945e-05,1.57752818
2023-05-12 12:45:00,26731.20300001,26731.20300002,26731.20300001,26731.20300002,0.02992352,799.89168759
2023-05-12 12:57:00,26525.4278515,26525.4278515,26425.93262399,26525.42785149,0.00724797,192.10290052
2023-05-12 13:00:00,26714.2894695,26714.2894695,26714.2894695,26714.2894695,0.00715515,191.1447483
2023-05-12 13:06:00,26505.528806,26505.528806,26505.528806,26505.528806,0.01375184,364.49979126
2023-05-12 13:24:00,26530.40261287,26530.40261287,26530.40261287,26530.40261287,0.00155274,41.19481735
2023-05-12 13:33:00,26530.40261287,26530.40261287,26530.40261287,26530.40261287,0.02708275,718.51626136
2023-05-12 13:36:00,26530.40261287,26530.40261287,26530.40261287,26530.40261287,0.02992156,793.83103361
2023-05-12 13:42:00,26530.40261287,26530.40261287,26530.40261287,26530.40261287,0.02826241,749.81311611
2023-05-12 13:45:00,26530.40261287,26530.40261287,26530.40261287,26530.40261287,0.05,1326.52013064
2023-05-12 13:48:00,26530.40261287,26530.40261287,26530.40261287,26530.40261287,0.23541985,6245.78340356
2023-05-12 13:51:00,26530.40261287,26530.40261287,26530.40261287,26530.40261287,0.06582202,1746.2846914
2023-05-12 13:54:00,26731.20300001,27250.23055996,26731.20300001,26819.81995837,0.45400388,12220.31951125
2023-05-12 14:15:00,26530.40261288,26759.51682187,26475.68023775,26759.51682187,0.08983724,2391.11781188
2023-05-12 14:33:00,26475.68023775,26475.68023775,26455.78119224,26475.68023775,0.03111213,823.69906902
2023-05-12 14:42:00,26694.188424,26699.21368537,26694.18842399,26694.18842399,0.02990143,798.24635591
2023-05-12 14:45:00,26689.16316261,26694.18842399,26689.16316261,26694.18842399,0.00346352,92.45222283
2023-05-12 14:51:00,26425.932624,26425.932624,26356.17166,26356.17166,0.06460159,1703.32041242
2023-05-12 15:09:00,26356.17166,26356.17166,26224.54,26224.54,0.00476434,125.56878749
2023-05-12 15:18:00,26224.54,26224.54,26224.54,26224.54,0.00086466,22.67531076
2023-05-12 15:24:00,26224.54,26224.54,26224.54,26224.54,0.00191114,50.11876738
2023-05-12 15:27:00,26163.29000001,26163.29000001,26140.0,26140.00000001,0.01884061,492.57497422
2023-05-12 15:36:00,26382.62221875,26382.62221875,26382.62221875,26382.62221875,0.00065994,17.41094771
2023-05-12 15:48:00,26367.54643462,26367.54643462,26367.54643462,26367.54643462,0.00294133,77.55565535
2023-05-12 16:06:00,26463.02640075,26463.02640075,26367.5464346,26367.54643462,0.01093489,289.34147167
2023-05-12 16:33:00,26187.14407801,26187.14407801,26177.19455525,26187.144078,0.00356989,93.4758169
2023-05-12 16:36:00,26422.82430975,26422.82430975,26422.82430975,26422.82430975,0.00251011,66.32419553
2023-05-12 16:57:00,26177.19455525,26177.19455525,26177.19455525,26177.19455525,0.02398928,627.9720498
2023-05-12 17:06:00,26207.0431235,26207.0431235,26207.0429235,26207.0429235,0.15380566,4030.7915535
2023-05-12 17:12:00,26422.82430974,26422.82430974,26422.82430974,26422.82430974,0.00083254,21.99805815
2023-05-12 17:39:00,26207.04312352,26207.04312352,26177.19455525,26207.04312352,0.01225214,320.75761412
2023-05-12 17:45:00,26422.82430974,26629.19784,26422.82430973,26422.82430973,0.15112937,4010.68760603
2023-05-12 17:48:00,26172.21979386,26172.21979386,26172.21979386,26172.21979386,0.00063832,16.70625134
